bookID|title|author|series|seriesName|bookInSeries|ISBN|pubYear|catalogingData|read|completedDate
1|Hornblower and the "Hotspur"|C.S. Forester|1|The Hornblower Series|3|0-316-28899-3|1962|Forester, C.S. (Cesil Scott), 1899-1966. Great Britain - History, Naval - 19th century - Fiction. ISBN 0-316-28899-3 (HC) 0-316-29046-7 (PB)|1|
2|Lieutenant Hornblower|C.S. Forester|1|The Hornblower Saga|2|0-316-29063-7|1951||1|
3|Mr. Midshipman Hornblower|C.S. Forester|1|The Hornblower Saga|1|0-316-29060-02(HC)~0-0316-28912-4 (PB)|1948||1|
4|Hornblower During the Crisis|C.S. Forester|1|The Hornblower Saga|4|0-316-28915-9 (HC)~0-316-28944-2 (PB)|1950||1|
5|Admiral Hornblower in the West Indies|C.S. Forester|1|The Hornblower Saga|11|0-316-28941-8 (PB)|1957||1|
6|Lord Hornblower|C.S. Forester|1|The Hornblower Saga|10|0-316-28943-4 (PB)|1946||1|
7|Commodore Hornblower|C.S. Forester|1|The Hornblower Saga|9|0-316-28938-8 (PB)|1945||1|
8|Flying Colors|C.S. Forester|1|The Hornblower Saga|8|0-316-28939-6 (PB)|1938||1|
9|Ship of the Line|C.S. Forester|1|The Hornblower Saga|7|0-316-28936-1 (PB)|1938||1|
10|Hornblower and the "Atropos"|C.S. Forester|1|The Hornblower Saga|5|0-316-28911-6 (HC)~0-316-28929-9 (PB)|1953||1|
11|Beat to Quarters|C.S. Forester|1|The Hornblower Saga|6|0-316-28932-9 (PB)|1938||1|
12|Term Limits|Vince Flynn|0|||978-0-671-02318-8~0-671-02318-7|1997||1|
13|Transfer of Power|Vince Flynn|1|Mitch Rapp|1|978-0-671-02320-1~0-671-02320-9|1999||1|
14|The Third Option|Vince Flynn|1|Mitch Rapp|2|978-0-671-04732-0~0-671-04732-9|2000||1|
15|Separation of Power|Vince Flynn|1|Mitch Rapp|3|978-0-671-04734-4~0-671-04734-5|2001||1|
16|Executive Power|Vince Flynn|1|Mitch Rapp|4|0-7434-5396-4|2003||1|
17|Memorial Day|Vince Flynn|1|Mitch Rapp|5|978-0-7434-5398-1~0-7434-5398-0|2004||1|
18|Consent to Kill|Vince Flynn|1|Mitch Rapp|6|978-1-4165-0501-3~1-4165-0501-6|2005||1|
19|Act of Treason|Vince Flynn|1|Mitch Rapp|7|978-1-4165-4226-1~1-4165-4226-4|2006||1|
20|Beowulf - A Verse Translation||0|||0-140-44931-0|1973||0|
21|Sharpe's Tiger - Richard Sharpe and the Siege of Seringapatam, 1799|Bernard Cornwell|1|The Sharpe Books|1|0-06-093230-9|1997||1|
22|Sharpe's Triumph - Richard Sharpe and the Battle of Assaye, September 1803|Bernard Cornwell|1|The Sharpe Books|2|0-06-095197-4|1998||1|
23|Sharpe's Fortress - Richard Sharpe and the Siege of Gawilghur, December 1803|Bernard Cornwell|1|The Sharpe Books|3|0-06-019424-3~0-06-109863-9 (pbk.)|1999||1|
24|Sharpe's Trafalgar - Richard Sharpe and the Battle of Trafalgar, October 21, 1805|Bernard Cornwell|1|The Sharper Books|4|0-06-019425-1~0-06-109862-0 (pbk.)|2000||1|
25|Sharpe's Prey - Richard Sharpe and the Expedition to Copenhagen, 1807|Bernard Cornwell|1|The Sharpe Books|5|0-06-000252-2~0-06-008453-7 (pbk.)|2001||1|
26|Sharpe's Rifles - Richard Sharpe and the French Invasion of Galicia, January 1809|Bernard Cornwell|1|The Sharpe Books|6|0 14 02.9429 5|1988||1|
27|Sharpe's Havoc - Richard Sharpe and the Campaign in Nothern Portugal, Spring 1809|Bernard Cornwell|1|The Sharpe Books|7|0-06-053046-4~0-06-056670-01 (pbk.)|2003||1|
28|Sharpe's Eagle - Richard Sharpe and the Talavera Campaign July 1809|Bernard Cornwell|1|The Sharpe Books|8|0 14 02.9430 9|1981||1|
